Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Ryan Mcintyre,0.287,24-24,101,18,29,6,1,0,13,37,0.366,6,0,18,0,0.324,1,0,2-Jan
Jack Mcdermott,0.286,24-24,84,14,24,6,1,0,10,32,0.381,14,0,21,2,0.384,1,0,1-Jan
Daniel Qin,0.226,25-25,84,13,19,7,0,0,15,26,0.31,7,5,8,6,0.316,2,1,1-Jan
Luke Padian,0.286,23-22,70,13,20,4,0,0,14,24,0.343,11,5,9,0,0.409,2,0,0-0
Chris Murphy,0.303,23-23,76,10,23,2,0,0,6,25,0.329,6,6,6,2,0.393,1,0,1-Jan
Christian Fagnant,0.242,21-20,66,8,16,4,0,1,16,23,0.348,7,1,17,0,0.32,1,0,0-0
Jack Dove,0.284,26-26,88,15,25,3,0,1,13,31,0.352,12,0,13,0,0.359,3,1,5-Apr
Nick Addison,0.25,Jun-00,4,0,1,0,0,0,0,1,0.25,0,0,1,0,0.25,0,0,0-0
Tyson Luna,0,16-2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0-0
Javier Irizarry,0.125,4-Jun,16,3,2,0,0,0,0,2,0.125,1,1,6,0,0.222,0,0,1-Jan
Jack Boyle,0.226,26-25,84,15,19,3,2,0,12,26,0.31,9,1,18,2,0.309,0,1,7-Jul
Nick Giattino,0,6-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Sam Robin,0,2-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jacob Ribitzki,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Tylon Crump,0,Mar-00,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0
Christian Limon,0.19,6-Sep,21,4,4,1,0,1,4,8,0.381,2,0,12,0,0.261,0,0,0-0
Ben Goff,0,3-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jackson Reydel,0.316,22-22,76,17,24,2,1,4,16,40,0.526,8,2,17,2,0.391,1,0,5-Mar
Jimin Kang,0.25,Apr-00,4,0,1,0,0,0,0,1,0.25,0,0,0,0,0.25,0,0,0-0
Jack Sampedro,0.455,2-Oct,11,3,5,0,0,1,4,8,0.727,0,1,2,1,0.5,0,0,1-Jan
Sachin Nambiar,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Camden New,0.25,14-9,32,7,8,1,0,1,5,12,0.375,5,0,12,0,0.351,0,0,2-Feb
Charlie Estes,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ian Donahue,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Caden Mcclure,0,2-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Alan Dai,0.667,Sep-00,3,1,2,1,0,0,0,3,1,1,0,1,0,0.75,0,0,0-0
Michael Perales,0,1-May,7,0,0,0,0,0,0,0,0,1,0,5,0,0.125,0,0,0-0
Aj Zaccareo,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Trevor Gasgarth,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Will Marshall,0,Feb-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0